"id","zh","en","context","caution","source","reviewStatus","reviewer","suggestion"
"crown-height","冠高","Crown height","腰部至台面的垂直高度或相应比例。","","https://4cs.gia.edu/interactive-4cs/cut/anatomy.html","pending-specialist-review","",""
"table-width","台面宽度","Table width","台面的宽度尺寸，本报告用 T 标注。","不同于未经定义的 table percentage。","docs/architecture/state-contract.md","pending-specialist-review","",""
"lw","长宽比","Length-to-width ratio","外形长度与宽度的比值 L/W。","无量纲，语言切换不能改变比例。","docs/architecture/state-contract.md","pending-specialist-review","",""
"meetpoint","会合点","Meetpoint","刻面交会的设计定位点。","Meet 是本项目保留英文的构造约束命令。","https://www.gemcad.com/downloads/gemcadman.pdf","pending-specialist-review","",""
"meet","会合约束","Meet","使当前主切面通过选定顶点或棱上点的约束。","软件命令，不译为“会议”。","docs/architecture/state-contract.md","pending-specialist-review","",""
"dual-meet","双 Meet","Dual Meet","两个不同点在给定主分度下联合约束角度与深度。","是本项目功能名称，非通用行业认证术语。","docs/architecture/state-contract.md","pending-specialist-review","",""
"jump","跳转交点","Jump","浏览前序实体候选交点的命令。","浏览本身不是保存；保留命令名 Jump。","docs/architecture/state-contract.md","pending-specialist-review","",""
"primary-facet","主切面","Primary facet","本工序选定的基准成员，控制 helper 与 Meet。","不同于琢型中的 main facet。","docs/architecture/state-contract.md","pending-specialist-review","",""
"edge-ratio","沿棱比例","Edge ratio","从稳定起点到终点的无量纲位置 t。","不是坡度；0 和 1 对应端点。","docs/architecture/state-contract.md","pending-specialist-review","",""
"vertex","顶点","Vertex","几何顶点。","不是所有 helper 控制点。","docs/architecture/state-contract.md","pending-specialist-review","",""
"edge","棱","Edge","两个表面间的真实边界。","共面三角网格内缝不算真实棱。","docs/architecture/state-contract.md","pending-specialist-review","",""
"effective-facet","有效刻面","Effective facet","完整已提交工序后仍在实体表面的逻辑切面。","同一平面切出多片，仍计一个有效刻面。","docs/architecture/state-contract.md","pending-specialist-review","",""
"mesh-face","面片","Mesh face","原石或几何网格的多边形面。","不同于逻辑 CUT 平面和 GPU 渲染三角形。","docs/architecture/state-contract.md","pending-specialist-review","",""
"render-triangle","渲染三角形","Render triangle","显示管线将表面三角化后的绘制单元。","不得计为宝石刻面数。","docs/architecture/state-contract.md","pending-specialist-review","",""
"cut-plane","裁切平面","Cutting plane","由法线与偏移定义、保留内侧材料的平面。","","docs/architecture/state-contract.md","pending-specialist-review","",""
"normal","法线","Normal","垂直于平面的向量。","不是普通模式的 normal。","docs/architecture/state-contract.md","pending-specialist-review","",""
"azimuth","方位角","Azimuth","绕 Z 轴的水平角，96 分度对应 3.75° 一齿。","","docs/architecture/state-contract.md","pending-specialist-review","",""
"beta","几何 β","Signed β","本项目几何角：冠正、腰零、亭负。","不要与台面为 0° 的行业角混用。","docs/architecture/state-contract.md","pending-specialist-review","",""
"repeat","旋转重复","Rotational repeats","把切割平面按角度重复到指定方向。","不复制原石。","docs/architecture/state-contract.md","pending-specialist-review","",""
"mirror","镜像轴偏移","Mirror-axis offset","改变反射轴方位以形成镜像面轨道。","不是平移距离。","docs/architecture/state-contract.md","pending-specialist-review","",""
"stale-source","来源失效","Stale source","来源层或几何变化后，保存约束不再匹配当前阶段。","不是自动删面；显式保存参数仍保留。","docs/architecture/state-contract.md","pending-specialist-review","",""
"ri","折射率","Refractive index","描述光在介质中传播的光学常量。","常用 RI；仿真参数不是宝石鉴定结论。","https://4cs.gia.edu/en-us/diamond-cut/","pending-specialist-review","",""
"dispersion","色散","Dispersion","折射随波长变化的现象。","不等同任意饱和度增强。","https://4cs.gia.edu/en-us/diamond-cut/","pending-specialist-review","",""
"fire","火彩","Fire","宝石中可见的彩色闪光表现。","仿真画面不保证实物火彩。","https://4cs.gia.edu/en-us/diamond-cut/","pending-specialist-review","",""
"body-color","体色","Body color","材料自身的颜色表现。","与光源或背景色区别。","docs/architecture/state-contract.md","pending-specialist-review","",""
"absorption","吸收系数","Absorption coefficient","描述光在材料内衰减的参数。","","docs/architecture/state-contract.md","pending-specialist-review","",""
"critical-angle","临界角","Critical angle","与全内反射条件相关的角度。","与切磨机行业角不同。","docs/architecture/state-contract.md","pending-specialist-review","",""
"orthographic","正交投影","Orthographic projection","平行投影，用于核对比例和轮廓。","不能把透视缩短当作形状差异。","docs/architecture/state-contract.md","pending-specialist-review","",""
"axonometric","轴测","Axonometric","展示多个方向的平行投影视图。","不同于透视。","docs/architecture/state-contract.md","pending-specialist-review","",""
"cubic-zirconia","立方氧化锆","Cubic zirconia","合成立方相氧化锆材料，常称 CZ。","不是天然锆石 Zircon。","docs/architecture/state-contract.md","pending-specialist-review","",""
"zircon","锆石","Zircon","锆石材料名。","不是 Cubic zirconia。","docs/architecture/state-contract.md","pending-specialist-review","",""
"corundum","刚玉","Corundum","红宝石与蓝宝石所属矿物种。","","docs/architecture/state-contract.md","pending-specialist-review","",""
"rock-crystal","水晶","Rock crystal","无色透明石英。","Crystal 在通用原石导入中不必译为水晶。","docs/architecture/state-contract.md","pending-specialist-review","",""
